text,label,label_name
"RE: Security notification: We have detected that your email account is being used to send phishing emails without your knowledge. To stop this activity and secure your account, please verify your credentials through the link immediately.",2,AI Phishing
"FWD: Get rich quick with crypto! Invest just $100 and make $10,000 in 7 days! Limited time offer!",1,Spam
"RE: Hi, could you please send me the contact information for the vendor we used last quarter?",0,Ham (Safe)
RE: Debt consolidation: Clear all debts for pennies on the dollar! Guaranteed! Free consultation!,1,Spam
FWD: Make passive income online! Our automated system earns money while you sleep! Join now!,1,Spam
"FINAL REMINDER: Claim your unclaimed tax refund of $3,200! IRS notification!",1,Spam
FWD: The committee has reviewed your proposal and would like to schedule a follow-up discussion.,0,Ham (Safe)
RE: Following up on our call - I've drafted the proposal and would love your feedback before we send it.,0,Ham (Safe)
We are pleased to inform you that your leave request has been approved for the dates requested.,0,Ham (Safe)
"Security notification: We have detected that your email account is being used to send phishing emails without your knowledge. To stop this activity and secure your account, please verify your credentials through the link immediately.",2,AI Phishing
Your recent payment failed! Update your billing information to avoid service interruption!,1,Spam
"Hi John, hope you're doing well. I wanted to follow up on the project proposal we discussed last week. Can we schedule a meeting?",0,Ham (Safe)
"Dear user, our security system has detected that your account password was recently exposed in a data breach. To protect your account, please immediately change your password by clicking the secure link and creating a new, strong password.",2,AI Phishing
RE: Nigerian Prince needs your help! I have $45 million dollars to transfer and will give you 40% for helping!,1,Spam
FWD: Attention: We have detected malware on your device that is stealing your personal information. Our security scan has identified critical threats. Please call our certified technicians immediately to remove these threats before permanent damage occurs.,2,AI Phishing
Lose 30 pounds in 30 days! Doctors HATE this one weird trick! 100% guaranteed results!,1,Spam
RE: Your computer is broadcasting your IP address! Hackers can see everything! Fix now!,1,Spam
Enlarge your manhood naturally! New pill approved by scientists! Results in just 7 days!,1,Spam
RE: Your recent payment failed! Update your billing information to avoid service interruption!,1,Spam
RE: Work from home and earn $300/hour! No skills required! Join our network today!,1,Spam
FWD: Casino bonus: Deposit $50 get $500 FREE! Play slots and win big! Limited time!,1,Spam
RE: Thanks for your email. I'll review the documents and get back to you by end of week.,0,Ham (Safe)
"Security alert: Your email account storage is 99% full and will be deactivated within 24 hours. To prevent loss of emails, please click the verification link and enter your login credentials to upgrade your storage capacity immediately.",2,AI Phishing
"Hello, I am contacting you from the IT Security department. We have identified a potential breach in your account. To protect your data, please immediately log in through our secure portal and update your password. This is urgent and time-sensitive.",2,AI Phishing
"FWD: Hello, I am contacting you from the IT Security department. We have identified a potential breach in your account. To protect your data, please immediately log in through our secure portal and update your password. This is urgent and time-sensitive.",2,AI Phishing
We wanted to update you on the progress of your support ticket. Our team is actively working on the issue.,0,Ham (Safe)
"RE: Dear customer, your credit card ending in 4242 has been charged $847.00 for an international transaction. If you did not authorize this charge, please verify your identity through the secure link to initiate a dispute and receive a refund.",2,AI Phishing
FWD: Your order has been shipped and is expected to arrive within 3-5 business days.,0,Ham (Safe)
"Your Zoom account has been flagged for sending inappropriate content. To appeal this decision and restore your account, please verify your identity and provide your account credentials through our review portal within 24 hours.",2,AI Phishing
FWD: This is a reminder that your subscription renewal is due next month. No action is required at this time.,0,Ham (Safe)
The project deadline has been extended by one week. Please coordinate with your team accordingly.,0,Ham (Safe)
"Dear customer, your credit card ending in 4242 has been charged $847.00 for an international transaction. If you did not authorize this charge, please verify your identity through the secure link to initiate a dispute and receive a refund.",2,AI Phishing
We are happy to inform you that your application for membership has been approved.,0,Ham (Safe)
"FWD: This is a final notice from your internet service provider. We have detected illegal downloading activity on your account. To avoid account termination and legal action, please verify your identity and explain the activity through our portal.",2,AI Phishing
"RE: We have noticed that your Google account was accessed from an unfamiliar device in another country. If this was not you, please immediately secure your account by verifying your identity at the link below to prevent further unauthorized access.",2,AI Phishing
RE: Your inheritance claim - Our records show you are the beneficiary of a large estate.,1,Spam
FREE credit report! See your score now! No credit card required! Check in 30 seconds!,1,Spam
Hi there! Hope your week is going well. Wanted to share some industry news that might be relevant to our project.,0,Ham (Safe)
"FWD: FREE GIFT CARD: Walmart, Amazon, Target! Survey complete in 2 minutes! Claim yours now!",1,Spam
Nigerian Prince needs your help! I have $45 million dollars to transfer and will give you 40% for helping!,1,Spam
"RE: Hi everyone, please welcome our new colleague joining the marketing team starting Monday.",0,Ham (Safe)
"Hi, I'm sharing the research findings from our recent market study for your review.",0,Ham (Safe)
"FWD: Hi, I wanted to let you know that I'll be out of office from December 20 to January 2. For urgent matters, contact my colleague.",0,Ham (Safe)
FWD: You've qualified for a special offer! Act fast - only 3 spots left at this price!,1,Spam
RE: The training materials you requested have been uploaded to the shared drive. Let me know if access is an issue.,0,Ham (Safe)
"FWD: Important: Your two-factor authentication has been disabled on your account. If you did not make this change, please immediately re-enable security features by verifying your identity through our secure authentication portal.",2,AI Phishing
"Dear account holder, your bank has temporarily limited your online access due to security concerns. To restore full access, please verify your identity by providing your account number and PIN through our secure verification portal.",2,AI Phishing
Could you please review the attached presentation before the board meeting next week?,0,Ham (Safe)
FWD: This is an important message from your IT administrator. We are upgrading our email servers and all users must re-authenticate their accounts by today. Please click the link and enter your work email and password to maintain access.,2,AI Phishing
FWD: FREE VIAGRA! Buy cheap medications online! No prescription required! Lowest prices guaranteed!,1,Spam
"RE: Dear valued customer, we have detected unusual activity on your account. As a security measure, please verify your identity by clicking the link below and entering your credentials. Failure to do so within 24 hours will result in account suspension. Click here: http://secure-verify-account.phish.net",2,AI Phishing
Get paid to take surveys! Earn up to $500 per day! Sign up free and start earning!,1,Spam
RE: The project deadline has been extended by one week. Please coordinate with your team accordingly.,0,Ham (Safe)
"FWD: Dear team, the meeting scheduled for Monday has been moved to Tuesday at 2 PM. Please update your calendars.",0,Ham (Safe)
This is a reminder that your subscription renewal is due next month. No action is required at this time.,0,Ham (Safe)
Your library books are due back this Friday. Renew online to avoid late fees.,0,Ham (Safe)
EXCLUSIVE: George Soros secret investment strategy leaked! Make $10k per month!,1,Spam
FWD: Nigerian Prince needs your help! I have $45 million dollars to transfer and will give you 40% for helping!,1,Spam
"FWD: Your package from an online retailer is being held at customs. To release your package, you must pay an import duty of $45 through our secure payment link. Failure to pay within 48 hours will result in the package being returned.",2,AI Phishing
RE: We are contacting you on behalf of the Social Security Administration. There is a hold on your Social Security number due to suspicious activity. Please call our toll-free number immediately to resolve this issue and avoid legal consequences.,2,AI Phishing
"FWD: Your LinkedIn profile has been viewed by a recruiter offering a position with a salary of $150,000 per year. To view this opportunity and connect with the recruiter, please verify your account by clicking the link and entering your credentials.",2,AI Phishing
RE: The network was briefly down this morning. It has been restored and all systems are operating normally.,0,Ham (Safe)
"Dear team, the meeting scheduled for Monday has been moved to Tuesday at 2 PM. Please update your calendars.",0,Ham (Safe)
Following up on our call - I've drafted the proposal and would love your feedback before we send it.,0,Ham (Safe)
"Your Spotify account subscription has been cancelled due to a payment failure. To restore your premium music experience, please update your billing information through our secure payment portal within the next 24 hours.",2,AI Phishing
"Important: Your domain name is about to expire in 24 hours. To prevent your website from going offline and losing your domain permanently, please renew immediately by clicking the link and entering your payment information.",2,AI Phishing
"RE: We are reaching out regarding your recent application for a business loan. Congratulations, you have been pre-approved for $50,000. To complete the process, please verify your identity and banking information through our secure portal.",2,AI Phishing
"Your email has won £2,500,000 in the Microsoft Lottery Draw! Contact us to claim!",1,Spam
RE: Casino bonus: Deposit $50 get $500 FREE! Play slots and win big! Limited time!,1,Spam
FWD: Please note that parking regulations in the office building will change starting next month.,0,Ham (Safe)
RE: This is an important message from your IT administrator. We are upgrading our email servers and all users must re-authenticate their accounts by today. Please click the link and enter your work email and password to maintain access.,2,AI Phishing
Anti-aging miracle: Look 20 years younger overnight! Celebrities use this secret method!,1,Spam
FWD: Online pharmacy: Generic medications at 80% discount! Worldwide delivery! No prescription!,1,Spam
Attention: We have detected malware on your device that is stealing your personal information. Our security scan has identified critical threats. Please call our certified technicians immediately to remove these threats before permanent damage occurs.,2,AI Phishing
"RE: Dear colleague, I am reaching out regarding an urgent wire transfer that needs to be completed today. Our CEO is traveling and has asked me to coordinate this. Please process a transfer of $25,000 to the following account immediately.",2,AI Phishing
FWD: I've reviewed the budget proposal and have a few suggestions. Can we discuss this week?,0,Ham (Safe)
"FWD: Hi, just wanted to share the minutes from yesterday's meeting. Please review and let me know if anything was missed.",0,Ham (Safe)
FWD: Lose 30 pounds in 30 days! Doctors HATE this one weird trick! 100% guaranteed results!,1,Spam
"RE: Alert: An unauthorized attempt was made to reset your password from a device in Eastern Europe. If this was not you, please verify your account immediately by clicking the link and confirming your identity to secure your account.",2,AI Phishing
"RE: This is a final notice from your internet service provider. We have detected illegal downloading activity on your account. To avoid account termination and legal action, please verify your identity and explain the activity through our portal.",2,AI Phishing
FWD: Just a reminder about the team lunch tomorrow at 12:30 PM at the usual restaurant.,0,Ham (Safe)
URGENT LOTTERY WINNER NOTIFICATION: Congratulations! You've won! Contact us within 48 hours!,1,Spam
"Your LinkedIn profile has been viewed by a recruiter offering a position with a salary of $150,000 per year. To view this opportunity and connect with the recruiter, please verify your account by clicking the link and entering your credentials.",2,AI Phishing
"Your DHL package delivery has failed because the delivery address was incomplete. To reschedule delivery and avoid return shipping, please confirm your address and pay the nominal redelivery fee of $2.99 through our secure payment link.",2,AI Phishing
"Hi everyone, please welcome our new colleague joining the marketing team starting Monday.",0,Ham (Safe)
BREAKING: Celebrity secret weight loss exposed! Doctors don't want you to know this!,1,Spam
FWD: Cheap Rolex watches! 90% off retail price! Authentic looking luxury watches shipped worldwide!,1,Spam
Good morning! Just checking in to see how the onboarding process is going for the new team members.,0,Ham (Safe)
Your order has been shipped and is expected to arrive within 3-5 business days.,0,Ham (Safe)
RE: Can you review the attached contract and let me know your thoughts? No rush on this one.,0,Ham (Safe)
RE: We have detected that someone is using your email address to send spam. Your account will be blocked unless you verify your identity within the next hour. Please click the link and enter your login information to confirm it is you.,2,AI Phishing
"FWD: Dear team member, the HR department requires all employees to update their direct deposit information in our new payroll system by end of business today. Please click the link and enter your banking details to ensure uninterrupted payment.",2,AI Phishing
FWD: Enlarge your manhood naturally! New pill approved by scientists! Results in just 7 days!,1,Spam
"RE: FREE GIFT CARD: Walmart, Amazon, Target! Survey complete in 2 minutes! Claim yours now!",1,Spam
RE: HOT STOCK TIP: This penny stock will explode 1000% this week! Buy NOW before it's too late!,1,Spam
"FWD: Your health insurance claim has been processed and you are eligible for a reimbursement of $2,340. To receive your payment, please verify your identity and provide your bank account details through our secure healthcare portal.",2,AI Phishing
FWD: You are selected! Business proposal worth $12.5 million waiting for a trusted partner!,1,Spam
"FREE iPhone 15 Pro! You are our 1,000,000th visitor! Click here to claim your prize now!",1,Spam
WARNING: We have detected suspicious activity on your account! Secure it now!,1,Spam
"RE: FINAL REMINDER: Claim your unclaimed tax refund of $3,200! IRS notification!",1,Spam
FWD: Get paid to take surveys! Earn up to $500 per day! Sign up free and start earning!,1,Spam
"RE: Hello, I am contacting you from the IT Security department. We have identified a potential breach in your account. To protect your data, please immediately log in through our secure portal and update your password. This is urgent and time-sensitive.",2,AI Phishing
RE: Thank you for attending today's training session. The slides and recording will be shared within 48 hours.,0,Ham (Safe)
"Dear team member, the HR department requires all employees to update their direct deposit information in our new payroll system by end of business today. Please click the link and enter your banking details to ensure uninterrupted payment.",2,AI Phishing
The IT department will be performing updates tonight. Please save your work before leaving.,0,Ham (Safe)
"RE: Your Netflix payment has failed and your subscription will be cancelled within 48 hours. To continue enjoying unlimited streaming, please update your payment information through our secure billing portal immediately.",2,AI Phishing
Your account statement is now available for download in your online banking portal.,0,Ham (Safe)
RE: BREAKING: Celebrity secret weight loss exposed! Doctors don't want you to know this!,1,Spam
RE: The system maintenance window is scheduled for this Saturday from 2 AM to 4 AM. Services may be briefly unavailable.,0,Ham (Safe)
RE: Lose 30 pounds in 30 days! Doctors HATE this one weird trick! 100% guaranteed results!,1,Spam
FWD: Thank you for attending today's training session. The slides and recording will be shared within 48 hours.,0,Ham (Safe)
FWD: We are pleased to inform you that your leave request has been approved for the dates requested.,0,Ham (Safe)
FWD: URGENT: Your computer has been infected with a virus! Call us immediately at 1-800-XXX-XXXX!,1,Spam
FWD: Become a millionaire with our proven investment system! Guaranteed returns of 500%!,1,Spam
We are contacting you on behalf of the Social Security Administration. There is a hold on your Social Security number due to suspicious activity. Please call our toll-free number immediately to resolve this issue and avoid legal consequences.,2,AI Phishing
"RE: Hi, I'm sharing the research findings from our recent market study for your review.",0,Ham (Safe)
RE: Just a reminder about the team lunch tomorrow at 12:30 PM at the usual restaurant.,0,Ham (Safe)
FWD: We are happy to inform you that your application for membership has been approved.,0,Ham (Safe)
RE: Attached is the invoice for services rendered in November. Payment is due within 30 days.,0,Ham (Safe)
FWD: Your computer is broadcasting your IP address! Hackers can see everything! Fix now!,1,Spam
Your prescription is ready for pickup at our pharmacy. Please bring a valid ID.,0,Ham (Safe)
FWD: Thanks for your email. I'll review the documents and get back to you by end of week.,0,Ham (Safe)
FWD: MLM opportunity: Join our team and earn residual income forever! Be your own boss!,1,Spam
"RE: Dear team member, the HR department requires all employees to update their direct deposit information in our new payroll system by end of business today. Please click the link and enter your banking details to ensure uninterrupted payment.",2,AI Phishing
RE: Could you please review the attached presentation before the board meeting next week?,0,Ham (Safe)
RE: We are happy to inform you that your application for membership has been approved.,0,Ham (Safe)
"Get rich quick with crypto! Invest just $100 and make $10,000 in 7 days! Limited time offer!",1,Spam
"We are reaching out regarding your recent application for a business loan. Congratulations, you have been pre-approved for $50,000. To complete the process, please verify your identity and banking information through our secure portal.",2,AI Phishing
"FWD: We are reaching out regarding your recent application for a business loan. Congratulations, you have been pre-approved for $50,000. To complete the process, please verify your identity and banking information through our secure portal.",2,AI Phishing
FWD: Can you review the attached contract and let me know your thoughts? No rush on this one.,0,Ham (Safe)
The system maintenance window is scheduled for this Saturday from 2 AM to 4 AM. Services may be briefly unavailable.,0,Ham (Safe)
"FWD: Miracle cure for diabetes, cancer, and arthritis! 100% natural! FDA not approved but works!",1,Spam
RE: Become a millionaire with our proven investment system! Guaranteed returns of 500%!,1,Spam
RE: Good morning! Just checking in to see how the onboarding process is going for the new team members.,0,Ham (Safe)
The board has approved the new budget for Q1. Please distribute this to your department heads.,0,Ham (Safe)
RE: Reminder: please complete your annual compliance training by the end of this month.,0,Ham (Safe)
"We have noticed that your Google account was accessed from an unfamiliar device in another country. If this was not you, please immediately secure your account by verifying your identity at the link below to prevent further unauthorized access.",2,AI Phishing
"FREE GIFT CARD: Walmart, Amazon, Target! Survey complete in 2 minutes! Claim yours now!",1,Spam
RE: Your prescription is ready for pickup at our pharmacy. Please bring a valid ID.,0,Ham (Safe)
FWD: RE: Your inheritance claim - Our records show you are the beneficiary of a large estate.,1,Spam
"RE: Congratulations! Your application for the COVID-19 relief fund has been approved. You are entitled to receive $1,400 in government assistance. Please provide your banking information through the secure government portal to receive your payment.",2,AI Phishing
RE: The committee has reviewed your proposal and would like to schedule a follow-up discussion.,0,Ham (Safe)
"FWD: Your email has won £2,500,000 in the Microsoft Lottery Draw! Contact us to claim!",1,Spam
RE: Herbal enlargement pills! 100% natural! Works in just 3 days! Shipped discreetly!,1,Spam
"FWD: Hi everyone, please welcome our new colleague joining the marketing team starting Monday.",0,Ham (Safe)
Meet beautiful women from Russia and Ukraine seeking marriage! Join our dating service!,1,Spam
FWD: Reminder: please complete your annual compliance training by the end of this month.,0,Ham (Safe)
FWD: Please submit your timesheets by end of day Thursday. HR needs them to process payroll.,0,Ham (Safe)
FWD: The system maintenance window is scheduled for this Saturday from 2 AM to 4 AM. Services may be briefly unavailable.,0,Ham (Safe)
"FWD: Hi, could you please send me the contact information for the vendor we used last quarter?",0,Ham (Safe)
Debt consolidation: Clear all debts for pennies on the dollar! Guaranteed! Free consultation!,1,Spam
"You've been pre-approved for a $50,000 loan regardless of your credit score! Apply now!",1,Spam
This is an important message from your IT administrator. We are upgrading our email servers and all users must re-authenticate their accounts by today. Please click the link and enter your work email and password to maintain access.,2,AI Phishing
Acai berry detox cleanse! Lose weight fast! As seen on Dr. Oz! Order now and save!,1,Spam
"FWD: Hi Sarah, I enjoyed our conversation at the conference. Let's keep in touch and explore potential collaboration.",0,Ham (Safe)
"FWD: Replica handbags, shoes and watches! Top quality at unbeatable prices! Worldwide shipping!",1,Spam
FINAL ATTEMPT: Your warranty has expired! Protect your vehicle! Call now!,1,Spam
FWD: The network was briefly down this morning. It has been restored and all systems are operating normally.,0,Ham (Safe)
Cheap Rolex watches! 90% off retail price! Authentic looking luxury watches shipped worldwide!,1,Spam
"Hi, just wanted to share the minutes from yesterday's meeting. Please review and let me know if anything was missed.",0,Ham (Safe)
The committee has reviewed your proposal and would like to schedule a follow-up discussion.,0,Ham (Safe)
"RE: Hi Sarah, I enjoyed our conversation at the conference. Let's keep in touch and explore potential collaboration.",0,Ham (Safe)
"Congratulations! Your application for the COVID-19 relief fund has been approved. You are entitled to receive $1,400 in government assistance. Please provide your banking information through the secure government portal to receive your payment.",2,AI Phishing
RE: The new HR policy document has been updated. Please review and acknowledge in the employee portal.,0,Ham (Safe)
"RE: Hi, just wanted to share the minutes from yesterday's meeting. Please review and let me know if anything was missed.",0,Ham (Safe)
Your PayPal account has been suspended! Verify your information immediately to restore access!,1,Spam
"FWD: Security notification: We have detected that your email account is being used to send phishing emails without your knowledge. To stop this activity and secure your account, please verify your credentials through the link immediately.",2,AI Phishing
RE: RE: Your inheritance claim - Our records show you are the beneficiary of a large estate.,1,Spam
RE: The quarterly performance reviews will begin next month. Please prepare your self-assessment.,0,Ham (Safe)
FWD: Anti-aging miracle: Look 20 years younger overnight! Celebrities use this secret method!,1,Spam
FWD: Please be aware of the updated safety guidelines posted in the break room and common areas.,0,Ham (Safe)
You have received a secure document via DocuSign that requires your immediate signature. This document is time-sensitive and contains important legal information. Please click the link to view and sign the document using your credentials.,2,AI Phishing
RE: This is a reminder that your subscription renewal is due next month. No action is required at this time.,0,Ham (Safe)
RE: Make $5000 per week working from home! No experience needed! Join thousands who are already making money!,1,Spam
"Replica handbags, shoes and watches! Top quality at unbeatable prices! Worldwide shipping!",1,Spam
"RE: Your Microsoft Office 365 subscription has been flagged for suspicious activity. To prevent unauthorized access, please verify your account information by clicking the secure link provided. Our security team is standing by to assist you.",2,AI Phishing
FWD: Your recent payment failed! Update your billing information to avoid service interruption!,1,Spam
"FWD: We have noticed that your Google account was accessed from an unfamiliar device in another country. If this was not you, please immediately secure your account by verifying your identity at the link below to prevent further unauthorized access.",2,AI Phishing
FWD: Looking forward to connecting at the upcoming industry summit. Will you be attending the panel discussion?,0,Ham (Safe)
"RE: Your email has won £2,500,000 in the Microsoft Lottery Draw! Contact us to claim!",1,Spam
"FWD: Your DHL package delivery has failed because the delivery address was incomplete. To reschedule delivery and avoid return shipping, please confirm your address and pay the nominal redelivery fee of $2.99 through our secure payment link.",2,AI Phishing
FWD: Your account statement is now available for download in your online banking portal.,0,Ham (Safe)
"FWD: Your Netflix payment has failed and your subscription will be cancelled within 48 hours. To continue enjoying unlimited streaming, please update your payment information through our secure billing portal immediately.",2,AI Phishing
RE: URGENT LOTTERY WINNER NOTIFICATION: Congratulations! You've won! Contact us within 48 hours!,1,Spam
FWD: Your Netflix subscription has expired! Click here to renew and get 3 months FREE!,1,Spam
FWD: URGENT LOTTERY WINNER NOTIFICATION: Congratulations! You've won! Contact us within 48 hours!,1,Spam
"This is a final notice from your internet service provider. We have detected illegal downloading activity on your account. To avoid account termination and legal action, please verify your identity and explain the activity through our portal.",2,AI Phishing
Please note that parking regulations in the office building will change starting next month.,0,Ham (Safe)
Thank you for attending today's training session. The slides and recording will be shared within 48 hours.,0,Ham (Safe)
"RE: Your LinkedIn profile has been viewed by a recruiter offering a position with a salary of $150,000 per year. To view this opportunity and connect with the recruiter, please verify your account by clicking the link and entering your credentials.",2,AI Phishing
FWD: We wanted to update you on the progress of your support ticket. Our team is actively working on the issue.,0,Ham (Safe)
FWD: Your library books are due back this Friday. Renew online to avoid late fees.,0,Ham (Safe)
"This message is from the IRS Tax Division. Our records indicate you are eligible for a tax refund of $3,500. To process your refund, you must verify your Social Security Number and banking information through our secure government portal.",2,AI Phishing
FWD: The project deadline has been extended by one week. Please coordinate with your team accordingly.,0,Ham (Safe)
"FWD: Dear user, our security system has detected that your account password was recently exposed in a data breach. To protect your account, please immediately change your password by clicking the secure link and creating a new, strong password.",2,AI Phishing
RE: Cheap Rolex watches! 90% off retail price! Authentic looking luxury watches shipped worldwide!,1,Spam
"RE: Important notification: Your Apple ID has been used to make a purchase of $299.99. If you did not authorize this transaction, please click here immediately to cancel and secure your account. Act now to prevent additional charges.",2,AI Phishing
"Your Dropbox account has been accessed from a new location. If this was not you, please immediately verify your account credentials through the link below to secure your files and prevent unauthorized access.",2,AI Phishing
FWD: We are contacting you on behalf of the Social Security Administration. There is a hold on your Social Security number due to suspicious activity. Please call our toll-free number immediately to resolve this issue and avoid legal consequences.,2,AI Phishing
RE: FREE credit report! See your score now! No credit card required! Check in 30 seconds!,1,Spam
FWD: We have detected that someone is using your email address to send spam. Your account will be blocked unless you verify your identity within the next hour. Please click the link and enter your login information to confirm it is you.,2,AI Phishing
RE: Your Netflix subscription has expired! Click here to renew and get 3 months FREE!,1,Spam
"FWD: Dear customer, your credit card ending in 4242 has been charged $847.00 for an international transaction. If you did not authorize this charge, please verify your identity through the secure link to initiate a dispute and receive a refund.",2,AI Phishing
RE: Please submit your timesheets by end of day Thursday. HR needs them to process payroll.,0,Ham (Safe)
RE: Discount pharmacy online! 80% off all medications! No prescription needed! Order today!,1,Spam
"RE: Hi John, hope you're doing well. I wanted to follow up on the project proposal we discussed last week. Can we schedule a meeting?",0,Ham (Safe)
"RE: Hi, I wanted to let you know that I'll be out of office from December 20 to January 2. For urgent matters, contact my colleague.",0,Ham (Safe)
FWD: Just confirming receipt of your application. We will be in touch within 5 business days.,0,Ham (Safe)
FWD: Could you please review the attached presentation before the board meeting next week?,0,Ham (Safe)
"FWD: Your Spotify account subscription has been cancelled due to a payment failure. To restore your premium music experience, please update your billing information through our secure payment portal within the next 24 hours.",2,AI Phishing
Thanks for your email. I'll review the documents and get back to you by end of week.,0,Ham (Safe)
RE: Looking forward to connecting at the upcoming industry summit. Will you be attending the panel discussion?,0,Ham (Safe)
"We have noticed multiple failed login attempts on your account from various locations. To protect your information, your account access has been temporarily restricted. Please verify your identity to restore normal access.",2,AI Phishing
FWD: Make $5000 per week working from home! No experience needed! Join thousands who are already making money!,1,Spam
"RE: You've been pre-approved for a $50,000 loan regardless of your credit score! Apply now!",1,Spam
Please join us for the annual company picnic this Saturday at Riverside Park starting at noon.,0,Ham (Safe)
"Your Netflix payment has failed and your subscription will be cancelled within 48 hours. To continue enjoying unlimited streaming, please update your payment information through our secure billing portal immediately.",2,AI Phishing
"RE: MEGA SALE: 99% discount on all software! Microsoft Office, Adobe Suite for FREE!",1,Spam
RE: I've reviewed the budget proposal and have a few suggestions. Can we discuss this week?,0,Ham (Safe)
RE: URGENT: Your computer has been infected with a virus! Call us immediately at 1-800-XXX-XXXX!,1,Spam
FWD: FINAL ATTEMPT: Your warranty has expired! Protect your vehicle! Call now!,1,Spam
"RE: We have noticed multiple failed login attempts on your account from various locations. To protect your information, your account access has been temporarily restricted. Please verify your identity to restore normal access.",2,AI Phishing
FWD: This is an automated security alert from your email provider. We have detected that your account may have been compromised. Please verify your account credentials within the next 12 hours to avoid permanent suspension.,2,AI Phishing
We have detected that someone is using your email address to send spam. Your account will be blocked unless you verify your identity within the next hour. Please click the link and enter your login information to confirm it is you.,2,AI Phishing
Discount pharmacy online! 80% off all medications! No prescription needed! Order today!,1,Spam
RE: MLM opportunity: Join our team and earn residual income forever! Be your own boss!,1,Spam
Reminder: please complete your annual compliance training by the end of this month.,0,Ham (Safe)
You are selected! Business proposal worth $12.5 million waiting for a trusted partner!,1,Spam
RE: You've qualified for a special offer! Act fast - only 3 spots left at this price!,1,Spam
"Your Amazon account has been temporarily suspended due to suspicious purchasing activity. To restore access and protect your payment methods, please verify your information through our secure customer portal immediately.",2,AI Phishing
"FWD: Alert: An unauthorized attempt was made to reset your password from a device in Eastern Europe. If this was not you, please verify your account immediately by clicking the link and confirming your identity to secure your account.",2,AI Phishing
"FWD: Congratulations! Your application for the COVID-19 relief fund has been approved. You are entitled to receive $1,400 in government assistance. Please provide your banking information through the secure government portal to receive your payment.",2,AI Phishing
"Important: Your two-factor authentication has been disabled on your account. If you did not make this change, please immediately re-enable security features by verifying your identity through our secure authentication portal.",2,AI Phishing
RE: HOT SINGLES IN YOUR AREA want to meet you! Click here to see who's interested RIGHT NOW!,1,Spam
RE: Your account statement is now available for download in your online banking portal.,0,Ham (Safe)
RE: WARNING: We have detected suspicious activity on your account! Secure it now!,1,Spam
I've reviewed the budget proposal and have a few suggestions. Can we discuss this week?,0,Ham (Safe)
"RE: Your health insurance claim has been processed and you are eligible for a reimbursement of $2,340. To receive your payment, please verify your identity and provide your bank account details through our secure healthcare portal.",2,AI Phishing
Work from home and earn $300/hour! No skills required! Join our network today!,1,Spam
Make passive income online! Our automated system earns money while you sleep! Join now!,1,Spam
"RE: You have WON the UK National Lottery! Your email was randomly selected! Claim £850,000 today!",1,Spam
RE: We wanted to update you on the progress of your support ticket. Our team is actively working on the issue.,0,Ham (Safe)
"FWD: Hello, I'm writing to confirm your appointment scheduled for next Thursday at 10:30 AM.",0,Ham (Safe)
"Hello, I'm writing to confirm your appointment scheduled for next Thursday at 10:30 AM.",0,Ham (Safe)
I wanted to share some exciting updates about our department restructuring and new team goals.,0,Ham (Safe)
The training materials you requested have been uploaded to the shared drive. Let me know if access is an issue.,0,Ham (Safe)
